Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR12223730_SRP271933_Undaria_pinnatifida_individual_18_2017-01-09_INTRO_NZ_Well2017_4_New_Zealand_1_P	SRR12223730_SRP271933_Undaria_pinnatifida_individual_18_2017-01-09_INTRO_NZ_Well2017_4_New_Zealand_1_P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	88613587.0	0.0	50-101	48.0	80.88585925112857	96.51657249807526	pass	pass	warn	pass	pass	pass	pass	warn	pass	pass	pass
SRR12223730_SRP271933_Undaria_pinnatifida_individual_18_2017-01-09_INTRO_NZ_Well2017_4_New_Zealand_2_P	SRR12223730_SRP271933_Undaria_pinnatifida_individual_18_2017-01-09_INTRO_NZ_Well2017_4_New_Zealand_2_P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	88613587.0	0.0	50-101	48.0	81.09512406853715	96.24638643733043	pass	pass	warn	pass	pass	pass	pass	warn	pass	pass	pass
SRR12223731_SRP271933_Undaria_pinnatifida_individual_17_2017-01-09_INTRO_NZ_Well2017_3_New_Zealand_1_P	SRR12223731_SRP271933_Undaria_pinnatifida_individual_17_2017-01-09_INTRO_NZ_Well2017_3_New_Zealand_1_P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	81538630.0	0.0	50-101	47.0	82.54338004471484	97.14775879849833	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
SRR12223731_SRP271933_Undaria_pinnatifida_individual_17_2017-01-09_INTRO_NZ_Well2017_3_New_Zealand_2_P	SRR12223731_SRP271933_Undaria_pinnatifida_individual_17_2017-01-09_INTRO_NZ_Well2017_3_New_Zealand_2_P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	81538630.0	0.0	50-101	47.0	81.18590585753674	96.68331957502842	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
SRR12223732_SRP271933_Undaria_pinnatifida_individual_16_2017-01-09_INTRO_NZ_Well2017_2_New_Zealand_1_P	SRR12223732_SRP271933_Undaria_pinnatifida_individual_16_2017-01-09_INTRO_NZ_Well2017_2_New_Zealand_1_P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	68640489.0	0.0	50-101	48.0	76.19135741765945	97.6268718015689	pass	pass	fail	pass	pass	pass	pass	warn	pass	warn	pass
SRR12223732_SRP271933_Undaria_pinnatifida_individual_16_2017-01-09_INTRO_NZ_Well2017_2_New_Zealand_2_P	SRR12223732_SRP271933_Undaria_pinnatifida_individual_16_2017-01-09_INTRO_NZ_Well2017_2_New_Zealand_2_P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	68640489.0	0.0	50-101	48.0	76.55138223473973	96.9981092063607	pass	pass	warn	pass	pass	pass	pass	warn	pass	warn	pass
SRR12223733_SRP271933_Undaria_pinnatifida_individual_15_2017-01-09_INTRO_NZ_Well2017_1_New_Zealand_1_P	SRR12223733_SRP271933_Undaria_pinnatifida_individual_15_2017-01-09_INTRO_NZ_Well2017_1_New_Zealand_1_P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	76339085.0	0.0	50-101	47.0	84.19100679304347	96.86030258287744	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
SRR12223733_SRP271933_Undaria_pinnatifida_individual_15_2017-01-09_INTRO_NZ_Well2017_1_New_Zealand_2_P	SRR12223733_SRP271933_Undaria_pinnatifida_individual_15_2017-01-09_INTRO_NZ_Well2017_1_New_Zealand_2_P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	76339085.0	0.0	50-101	47.0	83.30954267304656	95.9108034632587	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
SRR12223734_SRP271933_Undaria_pinnatifida_individual_14_1987-08-14_INTRO_NZ_Well1987_2_New_Zealand_1_P	SRR12223734_SRP271933_Undaria_pinnatifida_individual_14_1987-08-14_INTRO_NZ_Well1987_2_New_Zealand_1_P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	115952569.0	0.0	50-101	43.0	60.46980142110666	97.8054442243535	pass	pass	pass	pass	pass	warn	pass	warn	warn	pass	pass
SRR12223734_SRP271933_Undaria_pinnatifida_individual_14_1987-08-14_INTRO_NZ_Well1987_2_New_Zealand_2_P	SRR12223734_SRP271933_Undaria_pinnatifida_individual_14_1987-08-14_INTRO_NZ_Well1987_2_New_Zealand_2_P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	115952569.0	0.0	50-101	42.0	60.90484684183339	97.29262186506622	pass	pass	pass	pass	pass	warn	pass	warn	warn	pass	pass
SRR12223735_SRP271933_Undaria_pinnatifida_individual_13_1987-08-14_INTRO_NZ_Well1987_1_New_Zealand_1_P	SRR12223735_SRP271933_Undaria_pinnatifida_individual_13_1987-08-14_INTRO_NZ_Well1987_1_New_Zealand_1_P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	101549531.0	0.0	50-101	44.0	58.94555650356496	97.86991481034019	pass	pass	pass	pass	pass	warn	pass	warn	warn	warn	pass
SRR12223735_SRP271933_Undaria_pinnatifida_individual_13_1987-08-14_INTRO_NZ_Well1987_1_New_Zealand_2_P	SRR12223735_SRP271933_Undaria_pinnatifida_individual_13_1987-08-14_INTRO_NZ_Well1987_1_New_Zealand_2_P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	101549531.0	0.0	50-101	44.0	59.03265174780113	97.49536505491099	pass	pass	pass	pass	pass	warn	pass	warn	warn	warn	pass
SRR12223736_SRP271933_Undaria_pinnatifida_individual_12_2016-01-12_INTRO_NZ_Lyall_2_New_Zealand_1_P	SRR12223736_SRP271933_Undaria_pinnatifida_individual_12_2016-01-12_INTRO_NZ_Lyall_2_New_Zealand_1_P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	155861446.0	0.0	50-101	47.0	77.76474866494613	98.30786906724836	pass	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass
SRR12223736_SRP271933_Undaria_pinnatifida_individual_12_2016-01-12_INTRO_NZ_Lyall_2_New_Zealand_2_P	SRR12223736_SRP271933_Undaria_pinnatifida_individual_12_2016-01-12_INTRO_NZ_Lyall_2_New_Zealand_2_P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	155861446.0	0.0	50-101	47.0	86.0441904239795	96.07819867140203	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
SRR12223737_SRP271933_Undaria_pinnatifida_individual_11_2016-01-12_INTRO_NZ_Lyall_1_New_Zealand_1_P	SRR12223737_SRP271933_Undaria_pinnatifida_individual_11_2016-01-12_INTRO_NZ_Lyall_1_New_Zealand_1_P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	160435659.0	0.0	50-101	47.0	78.49540443451025	98.26459640122773	pass	pass	pass	pass	warn	pass	pass	warn	pass	pass	pass
SRR12223737_SRP271933_Undaria_pinnatifida_individual_11_2016-01-12_INTRO_NZ_Lyall_1_New_Zealand_2_P	SRR12223737_SRP271933_Undaria_pinnatifida_individual_11_2016-01-12_INTRO_NZ_Lyall_1_New_Zealand_2_P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	160435659.0	0.0	50-101	46.0	85.79876576701831	96.43954722060886	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
SRR12223738_SRP271933_Undaria_pinnatifida_individual_2_2016-04-19_INTRO_Fr_Roscoff_2_France_1_P	SRR12223738_SRP271933_Undaria_pinnatifida_individual_2_2016-04-19_INTRO_Fr_Roscoff_2_France_1_P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	90281249.0	0.0	50-101	47.0	84.6747177894097	98.16754462490877	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
SRR12223738_SRP271933_Undaria_pinnatifida_individual_2_2016-04-19_INTRO_Fr_Roscoff_2_France_2_P	SRR12223738_SRP271933_Undaria_pinnatifida_individual_2_2016-04-19_INTRO_Fr_Roscoff_2_France_2_P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	90281249.0	0.0	50-101	47.0	89.03980783067982	97.23476043181458	pass	pass	pass	pass	fail	pass	pass	warn	pass	pass	pass
SRR12223739_SRP271933_Undaria_pinnatifida_individual_1_2016-04-19_INTRO_Fr_Roscoff_1_France_1_P	SRR12223739_SRP271933_Undaria_pinnatifida_individual_1_2016-04-19_INTRO_Fr_Roscoff_1_France_1_P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	27734697.0	0.0	50-101	48.0	92.50856160353979	98.30944019327127	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
SRR12223739_SRP271933_Undaria_pinnatifida_individual_1_2016-04-19_INTRO_Fr_Roscoff_1_France_2_P	SRR12223739_SRP271933_Undaria_pinnatifida_individual_1_2016-04-19_INTRO_Fr_Roscoff_1_France_2_P.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	27734697.0	0.0	50-101	48.0	92.49497001168048	97.57518209050562	pass	pass	pass	pass	pass	pass	pass	warn	pass	pass	pass
